geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0098960	postsynaptic neurotransmitter receptor activity	http://amigo.geneontology.org/amigo/term/GO:0098960	18	5	0.34740651387213506	14.392361111111112	1.614862048660015e-5	0.00534284667808967	2555;2558;2561;2902;2915	ENSG00000145864;ENSG00000151834;ENSG00000168959;ENSG00000176884;ENSG00000186297
GO:0022857	transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0022857	289	17	5.577804583835946	3.0477941176470593	1.904875416591789e-5	0.00534284667808967	492;2555;2558;2561;2902;3739;3747;3760;3788;5950;7781;9899;55530;57030;57709;140679;388662	ENSG00000013293;ENSG00000067842;ENSG00000101438;ENSG00000104888;ENSG00000115194;ENSG00000138207;ENSG00000145864;ENSG00000151834;ENSG00000156486;ENSG00000162989;ENSG00000166006;ENSG00000166111;ENSG00000176884;ENSG00000182255;ENSG00000185518;ENSG00000186297;ENSG00000197106
GO:0005215	transporter activity	http://amigo.geneontology.org/amigo/term/GO:0005215	322	18	6.214716525934861	2.8963509316770186	2.0523098635427672e-5	0.00534284667808967	492;2555;2558;2561;2902;3739;3747;3760;3788;5950;7781;9899;51761;55530;57030;57709;140679;388662	ENSG00000013293;ENSG00000067842;ENSG00000101438;ENSG00000104888;ENSG00000115194;ENSG00000132932;ENSG00000138207;ENSG00000145864;ENSG00000151834;ENSG00000156486;ENSG00000162989;ENSG00000166006;ENSG00000166111;ENSG00000176884;ENSG00000182255;ENSG00000185518;ENSG00000186297;ENSG00000197106
GO:0005230	extracellular ligand-gated ion channel activity	http://amigo.geneontology.org/amigo/term/GO:0005230	28	5	0.5404101326899879	9.252232142857142	1.5957392994014885e-4	0.02429242309315316	2555;2558;2561;2902;57030	ENSG00000104888;ENSG00000145864;ENSG00000151834;ENSG00000176884;ENSG00000186297
GO:0015318	inorganic molecular entity transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0015318	245	14	4.728588661037394	2.960714285714286	1.6747294877550445e-4	0.02429242309315316	492;2555;2558;2561;2902;3739;3747;3760;3788;5950;7781;57030;140679;388662	ENSG00000067842;ENSG00000101438;ENSG00000104888;ENSG00000115194;ENSG00000138207;ENSG00000145864;ENSG00000151834;ENSG00000156486;ENSG00000162989;ENSG00000166006;ENSG00000176884;ENSG00000182255;ENSG00000186297;ENSG00000197106
GO:1904315	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	http://amigo.geneontology.org/amigo/term/GO:1904315	16	4	0.3088057901085645	12.953125	1.9307033619853087e-4	0.02429242309315316	2555;2558;2561;2902	ENSG00000145864;ENSG00000151834;ENSG00000176884;ENSG00000186297
GO:0005237	inhibitory extracellular ligand-gated ion channel activity	http://amigo.geneontology.org/amigo/term/GO:0005237	7	3	0.13510253317249699	22.205357142857142	2.2719501871770742e-4	0.02429242309315316	2555;2558;2561	ENSG00000145864;ENSG00000151834;ENSG00000186297
GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	http://amigo.geneontology.org/amigo/term/GO:0099529	17	4	0.3281061519903498	12.191176470588236	2.488340393664856e-4	0.02429242309315316	2555;2558;2561;2902	ENSG00000145864;ENSG00000151834;ENSG00000176884;ENSG00000186297
GO:0004890	GABA-A receptor activity	http://amigo.geneontology.org/amigo/term/GO:0004890	8	3	0.15440289505428226	19.4296875	0.00035850624060929093	0.03009261830255653	2555;2558;2561	ENSG00000145864;ENSG00000151834;ENSG00000186297
GO:0015276	ligand-gated ion channel activity	http://amigo.geneontology.org/amigo/term/GO:0015276	53	6	1.02291917973462	5.865566037735849	4.6033084040519867e-4	0.03009261830255653	2555;2558;2561;2902;3760;57030	ENSG00000104888;ENSG00000145864;ENSG00000151834;ENSG00000162989;ENSG00000176884;ENSG00000186297
