chr10	102151647	102153035	389	*
chr10	104121299	104122605	307	*
chr10	1048422	1049617	196	*
chr10	112183071	112184485	415	*
chr10	118754396	118755721	326	*
chr10	122979986	122981200	215	*
chr10	22339854	22341152	299	*
chr10	27503689	27504971	283	*
chr10	35126503	35127748	246	*
chr10	58268487	58269837	351	*
chr10	63132603	63133830	228	*
chr10	73167438	73168706	269	*
chr10	84138904	84140157	254	*
chr10	91923170	91924386	217	*
chr10	97400720	97401943	224	*
chr10	99430208	99431435	228	*
chr10	99620494	99621677	184	*
chr1	100132482	100133696	215	*
chr1	108746108	108747352	245	*
chr1	108876477	108877672	196	*
chr11	108664298	108665504	207	*
chr11	111878561	111880007	447	*
chr11	114399940	114401328	389	*
chr11	1258589	1259856	268	*
chr1	112618991	112620381	391	*
chr11	126268369	126269689	321	*
chr11	12673701	12674967	267	*
chr11	128522148	128523342	195	*
chr11	133944888	133946131	244	*
chr11	134252802	134253985	184	*
chr11	13667978	13669203	226	*
chr1	113811919	113813157	239	*
chr1	114581131	114582358	228	*
chr1	114757434	114758660	227	*
chr11	14891130	14892349	220	*
chr1	1166771	1168040	270	*
chr1	11805453	11806699	247	*
chr11	18321701	18323051	351	*
chr11	1834303	1835504	202	*
chr11	1836124	1837307	184	*
chr11	18633868	18635135	268	*
chr1	11907629	11908964	336	*
chr1	119139754	119141236	483	*
chr11	1925013	1926247	235	*
chr1	11979712	11981044	333	*
chr11	20386859	20388105	247	*
chr11	2165369	2166552	184	*
chr11	2302521	2303714	194	*
chr11	2399685	2401157	473	*
chr11	2699440	2700804	365	*
chr11	28107628	28108865	238	*
chr11	34104974	34106188	215	*
chr11	34916119	34917355	237	*
chr1	1374960	1376144	185	*
chr11	3796934	3798477	544	*
chr11	403438	404656	219	*
chr11	407199	408392	194	*
chr11	4094170	4095384	215	*
chr11	416038	417263	226	*
chr11	43643592	43644808	217	*
chr1	1471052	1472335	284	*
chr1	147171934	147173140	207	*
chr1	150268425	150269656	232	*
chr1	150363358	150364631	274	*
chr1	150629009	150630316	308	*
chr1	1511212	1512652	441	*
chr1	151165421	151166668	248	*
chr1	151281008	151282281	274	*
chr1	154558353	154559590	238	*
chr1	154936653	154937893	241	*
chr1	155194003	155195262	260	*
chr1	15525999	15527295	297	*
chr1	155323991	155325174	184	*
chr1	156728229	156729500	272	*
chr1	156766773	156768060	288	*
chr1	157137884	157139193	310	*
chr1	1574294	1575710	417	*
chr1	160061553	160062838	286	*
chr1	160261840	160263091	252	*
chr11	60841377	60842754	378	*
chr11	61361229	61362619	391	*
chr1	1614751	1616036	286	*
chr11	61827704	61829012	309	*
chr11	62591069	62592260	192	*
chr11	62726918	62728114	197	*
chr11	62840942	62842182	241	*
chr11	63973899	63975214	316	*
chr11	64269461	64270715	255	*
chr11	64269878	64271284	407	*
chr11	64317023	64318341	319	*
chr11	64778199	64779589	391	*
chr11	6480769	6482057	289	*
chr11	65083561	65084806	246	*
chr11	65121560	65122851	292	*
chr11	65421641	65422840	200	*
chr11	65496880	65498120	241	*
chr11	65569612	65571084	473	*
chr11	65615103	65616314	212	*
chr11	65711602	65712819	218	*
chr11	65720041	65721297	257	*
chr1	1658349	1659763	415	*
chr1	16612864	16614074	211	*
chr11	66344497	66345731	235	*
chr1	16644113	16645408	296	*
chr11	66616183	66617379	197	*
chr11	67427799	67429098	300	*
chr11	68213121	68214321	201	*
chr1	16889044	16890227	184	*
chr1	16904372	16905564	193	*
chr1	169485525	169486766	242	*
chr11	695110	696299	190	*
chr11	69674802	69676011	210	*
chr11	71447748	71448975	228	*
chr1	1723867	1725067	201	*
chr1	172532450	172533699	250	*
chr11	74398272	74399460	189	*
