NAME	TITLE	SCORE	
ENSG00000232454		4.9142056	
ENSG00000240509		4.864523	
ENSG00000224183		3.089785	
ENSG00000224858		2.8870125	
ENSG00000235082		2.4111087	
ENSG00000253570		2.3668158	
ENSG00000100150		2.3515282	
ENSG00000238113		2.2016146	
ENSG00000255129		2.1862345	
ENSG00000280744		2.1788843	
ENSG00000151012		2.1453726	
ENSG00000226310		2.0236125	
ENSG00000148358		1.9107996	
ENSG00000102524		1.8666416	
ENSG00000176907		1.8499417	
ENSG00000219507		1.729249	
ENSG00000197497		1.6677196	
ENSG00000230185		1.637816	
ENSG00000143036		1.5551734	
ENSG00000279557		1.5206095	
ENSG00000251442		1.4731029	
ENSG00000196668		1.4728056	
ENSG00000223509		1.4672362	
ENSG00000198093		1.4539334	
ENSG00000115380		1.432863	
ENSG00000163666		1.4168377	
ENSG00000283390		1.3862393	
ENSG00000228532		1.3298142	
ENSG00000263766		1.3138708	
ENSG00000178386		1.2945936	
ENSG00000213080		1.2832896	
ENSG00000111275		1.2805685	
ENSG00000168826		1.2633221	
ENSG00000133134		1.2214538	
ENSG00000235084		1.2157995	
ENSG00000198431		1.204166	
ENSG00000157680		1.1835043	
ENSG00000188994		1.1806295	
ENSG00000176912		1.1669896	
ENSG00000267419		1.1397207	
ENSG00000154556		1.1368891	
ENSG00000106025		1.126515	
ENSG00000160219		1.1232134	
ENSG00000113119		1.1162187	
ENSG00000164241		1.1116569	
ENSG00000126878		1.1084926	
ENSG00000137936		1.1082519	
ENSG00000102934		1.0924951	
ENSG00000023445		1.0840762	
ENSG00000157483		1.0829896	
ENSG00000106246		1.0647908	
ENSG00000134202		1.0642649	
ENSG00000197959		1.0623624	
ENSG00000003096		1.0552038	
ENSG00000125740		1.0371275	
ENSG00000181019		1.0330287	
ENSG00000101255		1.0161592	
ENSG00000108370		1.01335	
ENSG00000230673		0.98629946	
ENSG00000170049		0.9840639	
ENSG00000181472		0.9812101	
ENSG00000234498		0.9719202	
ENSG00000226471		0.9701783	
ENSG00000263513		0.9504549	
ENSG00000184785		0.9497541	
ENSG00000101384		0.9497434	
ENSG00000223546		0.9438832	
ENSG00000136840		0.93356836	
ENSG00000020426		0.9292514	
ENSG00000117877		0.92899364	
ENSG00000163661		0.925133	
ENSG00000138111		0.9229293	
ENSG00000227540		0.9203755	
ENSG00000109107		0.9166673	
ENSG00000068024		0.9138438	
ENSG00000106537		0.8995166	
ENSG00000152942		0.8991327	
ENSG00000135069		0.8952953	
ENSG00000164494		0.8892486	
ENSG00000236801		0.8881987	
ENSG00000116016		0.88798	
ENSG00000198157		0.88623506	
ENSG00000171862		0.88294494	
ENSG00000273254		0.88225126	
ENSG00000177688		0.88026005	
ENSG00000008513		0.87617576	
ENSG00000241990		0.86834985	
ENSG00000149557		0.86297184	
ENSG00000197147		0.86106443	
ENSG00000118496		0.858078	
ENSG00000160294		0.856021	
ENSG00000141574		0.85315514	
ENSG00000108448		0.85223895	
ENSG00000166347		0.8496474	
ENSG00000163577		0.84778947	
ENSG00000148926		0.8474628	
ENSG00000118515		0.8449362	
ENSG00000184068		0.84411085	
ENSG00000169193		0.8371549	
ENSG00000139173		0.8317242	
ENSG00000139187		0.8281795	
ENSG00000141627		0.8265615	
ENSG00000101493		0.8265483	
ENSG00000225793		0.82214844	
ENSG00000232024		0.82181144	
ENSG00000023909		0.8157064	
ENSG00000249264		0.81262666	
ENSG00000048392		0.81251615	
ENSG00000231999		0.8101297	
ENSG00000273448		0.8070001	
ENSG00000213433		0.8064426	
ENSG00000163795		0.80514085	
ENSG00000091844		0.80098623	
ENSG00000186951		0.7973437	
ENSG00000083807		0.79476464	
ENSG00000153904		0.7923475	
ENSG00000165028		0.78552103	
ENSG00000236753		0.78183115	
ENSG00000122432		0.78178144	
ENSG00000113048		0.7790134	
ENSG00000108960		0.75965697	
ENSG00000267519		0.7578166	
ENSG00000139832		0.7545164	
ENSG00000022267		0.75187135	
ENSG00000092621		0.7514235	
ENSG00000157150		0.75076914	
ENSG00000226608		0.7481893	
ENSG00000065413		0.7457034	
ENSG00000124107		0.74346286	
ENSG00000238000		0.7416068	
ENSG00000102024		0.733325	
ENSG00000143162		0.73210686	
ENSG00000115318		0.7267669	
ENSG00000102781		0.7256545	
ENSG00000167550		0.72516066	
ENSG00000109738		0.7251258	
ENSG00000064763		0.72392166	
ENSG00000228106		0.7161343	
ENSG00000242299		0.71587175	
ENSG00000123505		0.70826364	
ENSG00000180773		0.7078444	
ENSG00000102796		0.7078083	
ENSG00000183150		0.70412534	
ENSG00000100490		0.70017	
ENSG00000223768		0.6992956	
ENSG00000232677		0.6959315	
ENSG00000102471		0.695573	
ENSG00000166401		0.6953916	
ENSG00000103260		0.69497496	
ENSG00000095209		0.69471425	
ENSG00000187678		0.69334364	
ENSG00000112210		0.69290656	
ENSG00000274213		0.69186044	
ENSG00000169239		0.6913277	
ENSG00000144959		0.6902481	
ENSG00000138744		0.6898323	
ENSG00000275441		0.6892349	
ENSG00000187824		0.6890271	
ENSG00000004866		0.6874261	
ENSG00000121577		0.68591213	
ENSG00000089818		0.6853954	
ENSG00000178301		0.68466115	
ENSG00000237493		0.6821681	
ENSG00000065911		0.6805102	
ENSG00000136425		0.6779551	
ENSG00000274421		0.6771193	
ENSG00000136048		0.6743165	
ENSG00000013375		0.67282677	
ENSG00000266993		0.67170954	
ENSG00000273306		0.67095697	
ENSG00000262454		0.6698533	
ENSG00000026297		0.66983575	
ENSG00000279289		0.66676193	
ENSG00000267040		0.6604469	
ENSG00000255248		0.65804535	
ENSG00000275055		0.65748507	
ENSG00000198482		0.6568805	
ENSG00000168917		0.65592223	
ENSG00000236810		0.6553217	
ENSG00000100889		0.6551587	
ENSG00000261087		0.6523608	
ENSG00000090530		0.6482603	
ENSG00000111371		0.64802754	
ENSG00000233762		0.6476964	
ENSG00000165338		0.64638036	
ENSG00000170965		0.6450663	
ENSG00000168661		0.64485025	
ENSG00000100321		0.64468724	
ENSG00000110660		0.64458424	
ENSG00000189164		0.6442751	
ENSG00000145354		0.64171225	
ENSG00000132199		0.64107597	
ENSG00000165323		0.6402579	
ENSG00000110756		0.6397011	
ENSG00000256229		0.6396693	
ENSG00000106799		0.63920784	
ENSG00000082438		0.63880605	
ENSG00000137449		0.63786	
ENSG00000135919		0.6355106	
ENSG00000100949		0.6348206	
ENSG00000107669		0.634264	
ENSG00000197121		0.6339884	
ENSG00000161011		0.63207716	
ENSG00000105971		0.6304615	
ENSG00000246273		0.62863404	
ENSG00000144815		0.6275724	
ENSG00000182247		0.6257774	
ENSG00000267106		0.62239915	
ENSG00000144476		0.6222372	
ENSG00000214756		0.62157553	
ENSG00000162614		0.62128323	
ENSG00000183696		0.61968905	
ENSG00000226266		0.61906767	
ENSG00000235954		0.6186099	
ENSG00000159388		0.6161036	
ENSG00000128512		0.6155871	
ENSG00000124762		0.61160696	
ENSG00000110092		0.6102979	
ENSG00000105655		0.60900545	
ENSG00000203865		0.6082705	
ENSG00000106086		0.606956	
ENSG00000217801		0.60640717	
ENSG00000197872		0.60605913	
ENSG00000161513		0.6054983	
ENSG00000134490		0.60322803	
ENSG00000168243		0.60235536	
ENSG00000164124		0.6021389	
ENSG00000181450		0.60148716	
ENSG00000095951		0.59877974	
ENSG00000197380		0.5955744	
ENSG00000173041		0.5955618	
ENSG00000084444		0.5950614	
ENSG00000156110		0.594015	
ENSG00000183666		0.5939101	
ENSG00000112992		0.5937478	
ENSG00000196839		0.5923464	
ENSG00000166979		0.5923122	
