NAME	TITLE	SCORE	
ENSG00000232454		5.8933887	
ENSG00000240509		4.3149357	
ENSG00000130513		3.4933307	
ENSG00000101255		2.6486216	
ENSG00000273061		2.376099	
ENSG00000181019		2.3431816	
ENSG00000223361		2.3279233	
ENSG00000224183		2.3176644	
ENSG00000128965		2.2832654	
ENSG00000151012		2.258262	
ENSG00000176046		2.2469826	
ENSG00000128564		2.2311876	
ENSG00000234975		2.0233374	
ENSG00000023909		1.9638197	
ENSG00000213433		1.8362148	
ENSG00000211445		1.8355691	
ENSG00000131389		1.8348619	
ENSG00000108370		1.8285756	
ENSG00000227376		1.8204151	
ENSG00000224858		1.8176197	
ENSG00000219507		1.817301	
ENSG00000185250		1.8058273	
ENSG00000124107		1.8057377	
ENSG00000258741		1.7669629	
ENSG00000175197		1.7547759	
ENSG00000065911		1.752635	
ENSG00000183696		1.7466747	
ENSG00000108448		1.7427622	
ENSG00000137193		1.729852	
ENSG00000161011		1.716312	
ENSG00000087086		1.7020057	
ENSG00000111348		1.6999909	
ENSG00000108551		1.6976513	
ENSG00000130766		1.6686504	
ENSG00000137767		1.6563574	
ENSG00000136810		1.6497003	
ENSG00000198431		1.6331244	
ENSG00000232888		1.6089587	
ENSG00000167996		1.6088175	
ENSG00000167550		1.588772	
ENSG00000133134		1.5781921	
ENSG00000229980		1.5762063	
ENSG00000274213		1.5735122	
ENSG00000226608		1.5728173	
ENSG00000111981		1.5521246	
ENSG00000261889		1.5439664	
ENSG00000165028		1.5112451	
ENSG00000008513		1.5039426	
ENSG00000232187		1.4874201	
ENSG00000226976		1.4716058	
ENSG00000129028		1.4612436	
ENSG00000135047		1.4566413	
ENSG00000175592		1.4539821	
ENSG00000116761		1.4528395	
ENSG00000188290		1.4512072	
ENSG00000172183		1.4363041	
ENSG00000125347		1.4254801	
ENSG00000013588		1.420068	
ENSG00000051108		1.4047279	
ENSG00000145194		1.3918124	
ENSG00000219665		1.3875684	
ENSG00000269893		1.3859985	
ENSG00000168528		1.3846496	
ENSG00000100889		1.3794287	
ENSG00000198355		1.3751831	
ENSG00000104856		1.3567711	
ENSG00000087074		1.3448818	
ENSG00000121039		1.3447826	
ENSG00000261087		1.343842	
ENSG00000162413		1.3409222	
ENSG00000111275		1.3359272	
ENSG00000172216		1.3313105	
ENSG00000120889		1.3247552	
ENSG00000063438		1.32244	
ENSG00000042286		1.3191268	
ENSG00000226471		1.3186893	
ENSG00000106105		1.3186742	
ENSG00000172974		1.3155512	
ENSG00000134058		1.3116976	
ENSG00000051180		1.308163	
ENSG00000120053		1.3024391	
