NAME	TITLE	SCORE	
ENSG00000224183		4.2013435	
ENSG00000276141		2.3858104	
ENSG00000131435		2.117382	
ENSG00000230562		1.9191582	
ENSG00000230673		1.7393322	
ENSG00000231245		1.5432963	
ENSG00000273061		1.385313	
ENSG00000260088		1.2948587	
ENSG00000226396		1.2707249	
ENSG00000232888		1.237809	
ENSG00000238103		1.2309296	
ENSG00000179859		1.1800616	
ENSG00000111348		1.1629746	
ENSG00000263563		1.1485353	
ENSG00000254893		1.1308495	
ENSG00000217801		1.0876579	
ENSG00000187556		1.0506608	
ENSG00000226471		1.0319648	
ENSG00000228288		1.0227052	
ENSG00000235084		1.0126345	
ENSG00000139132		1.0099752	
ENSG00000282978		0.9975026	
ENSG00000249222		0.98204315	
ENSG00000113296		0.955459	
ENSG00000273271		0.9277778	
ENSG00000253553		0.9216458	
ENSG00000226360		0.91332525	
ENSG00000080947		0.8739168	
ENSG00000211448		0.8729651	
ENSG00000229334		0.8606554	
ENSG00000232187		0.82160676	
ENSG00000109771		0.81586665	
ENSG00000274561		0.8141921	
ENSG00000157890		0.80784875	
ENSG00000272525		0.80753046	
ENSG00000182185		0.80365026	
ENSG00000224631		0.77864957	
ENSG00000224831		0.77634466	
ENSG00000233006		0.7737899	
ENSG00000247809		0.73155904	
ENSG00000204334		0.72373056	
ENSG00000176826		0.7138492	
ENSG00000160219		0.7058193	
ENSG00000231767		0.6985512	
ENSG00000256464		0.69611865	
ENSG00000228782		0.6913955	
ENSG00000223509		0.6679259	
ENSG00000175782		0.66139627	
ENSG00000258704		0.65735674	
ENSG00000271147		0.63970727	
ENSG00000183666		0.6381818	
ENSG00000164241		0.6289737	
ENSG00000235082		0.62018025	
ENSG00000226964		0.62002605	
ENSG00000164002		0.6199639	
ENSG00000065621		0.61905986	
ENSG00000248019		0.6153349	
ENSG00000232346		0.61513627	
ENSG00000163666		0.6144411	
ENSG00000238113		0.6139715	
ENSG00000166562		0.6137549	
ENSG00000240509		0.6120241	
ENSG00000134046		0.60911655	
ENSG00000180764		0.6029504	
ENSG00000165028		0.5911295	
ENSG00000139187		0.58497334	
ENSG00000250061		0.573766	
ENSG00000218175		0.5726364	
ENSG00000256742		0.56657696	
ENSG00000258199		0.56644195	
ENSG00000257511		0.56608915	
ENSG00000276115		0.56171393	
ENSG00000164406		0.5564618	
ENSG00000187824		0.5544958	
ENSG00000101898		0.5447053	
ENSG00000168661		0.53774756	
ENSG00000271913		0.5363291	
ENSG00000271335		0.5326519	
ENSG00000102934		0.52993256	
ENSG00000129028		0.5297369	
ENSG00000249286		0.5258884	
ENSG00000169914		0.51861525	
ENSG00000249592		0.5181938	
ENSG00000263766		0.5098682	
ENSG00000272368		0.5065638	
ENSG00000229980		0.5045344	
ENSG00000239213		0.5016966	
ENSG00000263272		0.5006567	
ENSG00000112981		0.5001403	
ENSG00000248483		0.4945159	
ENSG00000109113		0.49268496	
ENSG00000277998		0.49046797	
ENSG00000224699		0.48968506	
ENSG00000236924		0.48646843	
ENSG00000140332		0.48332676	
ENSG00000273254		0.48187372	
ENSG00000271870		0.47468996	
ENSG00000245468		0.4702915	
ENSG00000273723		0.46953508	
ENSG00000258102		0.46623436	
ENSG00000233382		0.45619833	
ENSG00000177839		0.45338306	
ENSG00000132199		0.45298818	
ENSG00000278041		0.45137566	
ENSG00000253251		0.44458926	
ENSG00000266469		0.44445848	
ENSG00000233230		0.43675295	
ENSG00000258017		0.43669257	
ENSG00000141574		0.43511218	
ENSG00000065054		0.42451698	
ENSG00000228929		0.4224377	
ENSG00000215068		0.42054757	
ENSG00000102452		0.41747913	
ENSG00000250786		0.41615766	
ENSG00000231607		0.41217697	
ENSG00000198046		0.40947196	
ENSG00000006459		0.40821558	
ENSG00000233913		0.40768376	
ENSG00000106484		0.40534508	
ENSG00000250461		0.40321922	
ENSG00000159733		0.40275005	
ENSG00000229989		0.40179104	
ENSG00000233264		0.39803565	
ENSG00000259366		0.39618203	
ENSG00000247240		0.3957324	
ENSG00000177058		0.39459002	
ENSG00000088727		0.38797048	
ENSG00000163517		0.38400513	
ENSG00000144199		0.38350224	
ENSG00000112877		0.37806278	
ENSG00000121211		0.3775169	
ENSG00000144161		0.3762832	
ENSG00000235217		0.3755261	
ENSG00000256667		0.37534317	
ENSG00000131848		0.37404072	
ENSG00000232859		0.37396613	
ENSG00000134056		0.3732478	
